,All damage dealing Cantrips gain an additional damage die at level 5 and 9,,,,,,
Name,School,Resource,Mechanic,Range,Condition,Duration,Effect
Acid Burst,Conjuration,Action,Attack Roll,18 m,Acid,1 Turn,"Deal 1d8 Acid Damage in a 1.5 m area, leaving behind an acidic surface."
Blade Surge,Conjuration,Action,DEX Save,3 m,Bleeding,1 Turn,Deal 1d12 Force Damage in a 3 m area around you. On save targets still take half damage.
Blade Ward,Abjuration,Bonus,Buff,Self Only,Blade Ward,3 Turns,Gain Resistance to your next instance of physical damage
Bone Chill,Necromancy,Action,Attack Roll,18 m,Bone Chilled,1 Turn,Deal 1d8 Necrotic Damage. Undead creatures roll with Disadvantage on all Attack Rolls.
Create or Extinguish Flames,Transmutation,Bonus,Surface,18 m,Burning,3 Turns,"Create a 3 m flame surface or extinguish fire from a creature, object or surface."
Dancing Lights,Evocation,Bonus,Light,18 m,Luminescence,Until Long Rest,"Create glowing wisps illuminating a 9 m radius, sneaking or invisible enemies within the radius are revealed. You may also choose to instead cause a creature or item to glow brightly, illuminating a 9 m radius."
Disguise Self,Illusion,Bonus,Buff,Self Only,Invisible,1 Turn,"Turn yourself invisible until the end of your current turn or magically change all aspects of your appearance until long rest, so long as you can cast the Cantrip."
Druidcraft,Transmutation,Bonus,STR Save,18 m,Entangled,1 Turn,"Attempt to Entangle another creature, leaving them unable to move. Attack Rolls against the creature also have Advantage and they make all Dexterity based Saving Throws with Disadvantage."
Fire Bolt,Evocation,Action,Attack Roll,18 m,Burning,1 Turn,Deal 1d8 Fire Damage and inflict Burning on your target.
Friends,Enchantment,Bonus ,Debuff,18 m,Friends,Permanent,The Spellcaster who inflicted this Charm will have Advantage on Charisma based Ability Checks against this non-hostile creature. May be cast while Silenced or Muted and will not break Stealth.
Frostbite,Evocation,Action,Attack Roll,Melee,Frigid,1 Turn,"Deal 1d12 Cold Damage and apply Frigid, imposing Disadvantage on the creature's Attack Rolls until they deal damage."
Green Flame-Blade,Evocation,Action,Attack Roll,Melee,None,None,Deal 1d8 Fire Damage alongside your weapon damage and ricochet a spark of flame into another enemy within 9m who takes 1d8 Fire Damage. This Cantrip may be cast while Silenced or Muted.
Guidance,Divination,Bonus ,Buff,18 m,Guidance,Permanent,Grant affected creature a bonus 1d4 to Ability Checks. May only affect one target at a time.
Guiding Moonlight (Light) ,Evocation,Bonus,Buff,Melee,Guiding Moonlight,Permanent,Infuse a weapon granting it a +2 bonus to both it's Attack Rolls and Damage. Weapons may benefit from only one enchantment from Spells or Cantrips. May only affect one weapon at a time.
Gust Bellow,Evocation,Bonus,STR Save,3 m,None,None,Expel a blast of wind around yourself removing any nearby surfaces and potentially forcing creatures back by 9 m.
Mage Hand,Conjuration,Bonus,Summon,18 m,None,Until Long Rest,Summons a spectral hand that can do things that hands do.
Mind Sliver,Enchantment,Action,Attack Roll w/ INT Save,18 m,Mind Fracture,3 Turns,"Deal 1d8 Psychic Damage to a creature, potentially Fracturing their ability to think clearly. This causes them to suffer a 1d4 penalty to their next Saving Throw alongside not being able to utlize their armours elemental Damage Reduction."
