,,,,"At Levels 3, 7 and 11 Spellcasters may choose a spell from any Spell List. Arcanist, Bards and Way of the Arcane Monks may choose from any Spell List at all levels. ",,,,,,,,,
Spell Name,School,Resource,Mechanic,Range,Condition,Duration,Effect,Upcast,Cleric /Paladin,Druid/ Ranger,Sorcerer/Wild Barbarian,Warlock/ Eldritch Knight,Wizard/ Arcane Trickster
Absorb Elements,Abjuration,Bonus,Buff,18 m,Absorb Elements (Element),3 turns,Grant a creature Resistance to an element of your choice. All elements are available to choose from. This Spell may be cast while Silenced or Muted and will not break Stealth.,Select 1 additional target per level,X,X,,,
Acid Cloud,Conjuration,Action,Concentration                       / CON Save,18 m,Nauseous,1 Turn,Create a 3 m cloud of acidic gas that deals 1d6(+4) Acid Damage and applies the condition Nauseous to creatures who remain in its area of effect.,Deal an additional 1d6(+4) Acid Damage per level,,,X,X,
Aid,Abjuration,Bonus,Buff,18 m,Aid,Until Long Rest,Provide 6 Temporary Hit Points to yourself and any allied creatures in your area of effect.,Additional 6 Temporary Hit Points per level,X,X,,,
Animate Dead,Necromancy,Bonus,Summon,18 m,None,Until Long Rest,Create a Light Crossbow wielding Skeleton or Zombie from a corpse. The corpse cannot be large in size.,Additional corpses may be targeted per level.,X,,,,X
Arcane Gate,Conjuration,Bonus,Movement,18 m,None,3 Turns,Create two linked teleporation portals.,No additional benefits,X,,,,X
Arcane Lock,Abjuration,Bonus,Concentration,18 m,Arcane Lock,Until Long Rest,Lock a door or container with a magical lock. It can no longer be lockpicked or opened with Knock.,Select 1 additional target per level,X,,,,X
Arcane Vortex,Conjuration,Action,STR Save,18 m,Arcane Vortex Aura,3 Turns,Deal 1d12 Force Damage to any creatures within the Vortex. The vortex is considered Difficult Terrain.,Deal an addtional 1d12 Force Damage per level.,,,X,,X
Armour of Agathys,Abjuration,Bonus,Buff,Self Only,Armour of Agathys,Until Long Rest,"Gain 6 Temporary Hit Points. While you have Temporary Hit Points, deal 6 Cold Damage to an enemy that makes a successful melee based Attack Roll against you. If the damage received affects your Hit Points then the Cold Damage will not apply.",Additional 6 Temporary Hit Points and 6 Cold Damage per level,,,,X,X
Arms of Hadar,Conjuration,Action,Curse / STR Save,3 m,Arms of Hadar,1 Turn,"Deal 1d12(+4) Necrotic Damage in a 3 m area around the caster applying a condition  that prevents creatures from using Reactions. On save, the target still takes half the damage.",Deal an addtional 1d12(+4) Necrotic Damage per level.,X,,,X,
Aura of Life,Abjuration,Action,Buff/Heal,9 m,Aura of Life,3 Turns,Apply a buff to yourself that heals 1d6 Hit Points to allies within your aura at the start of their turns. Downed allies will instead regain 1 Hit Point at the start of their turn.,Heal an additional 1d6 Hit Points per level,X,X,,,
Bane,Enchantment,Bonus,Concentration / Curse,18 m,Bane,Until Long Rest,Curse creature's with a 1d4 penalty to their Attack Rolls and Saving Throws.,"Select 1 additional target per level
",X,,,X,
Banishment,Abjuration,Action,Debuff (No Save)                               [CHA Save on Dangerous and Fatal],18 m,Banished,1 Turn,"Banish a target from this plane of existence for 1 Turn. Target is removed completely and unable to be interacted with during this time. Banished creatures gain immunity to this effect until their next Long Rest once returning. This effect applies with no Save required unless the target is a Dangerous or Fatal encounter, then a CHA Save is required.",Increase the duration of the condition by 1 Turn per level,X,,X,,
Barkskin,Transmutation,Bonus,Buff,18 m,Barkskin,Until end of a Combat Encounter,Grant a buff to a creature that reduces all Elemental Damage they would take by 1 until the end of their next combat encounter.,"Select 1 additional target and increase the Damage Reduction by 1 per level
",,X,X,,
Barrier of Holding,Abjuration,Action,STR Save,3 m,Barrier Bound,Until Long Rest,Create a 3 m area where all creatures within are unable to move. At the beginning of each of their turns they must attempt a Strength Saving Throw in order to escape. Upon a successful Saving Throw the creature gains 1 Turn of Barrier Immunity.,No additional benefits,X,,,,X
Beacon of Hope,Abjuration,Bonus,Buff,18 m,Beacon of Hope,3 Turns,Apply a condition to a target creature allowing them to regain the maximum amount of Hit Points possible when healed.,Select 1 additional target per level,X,X,,,
Blade Barrier,Evocation,Action,DEX Save,9 m,Blade Barrier,Until Long Rest,Create a damaging wall of blades that deal 1d12 Slashing damage to anyone who comes in contact with it.,Deal an additional 1d12 Slashing Damage per level.,,,,X,X
Bless,Enchantment,Bonus,Concentration,18 m,Bless,Until Long Rest,Apply a 1d4 bonus to a creature's Attack Rolls and Saving Throws.,Select 1 additional target per level,X,X,,,
